References	Quantity	Description	PartNumber	DigiKey
U102	1	TSSP58P38	TSSP58P38	TSSP58P38-ND
U101	1	STM32F030K6T6	STM32F030K6T6	497-14046-ND
U201;U202;U203;U204;U205;U206;U207;U208;U209;U210	1	RGB LEDs	APA102C 5050	1528-1436-ND
B301	1	AA Battery holder	BCAAPC	BCAAPC-ND
C101;C104;C105	3	0.1uF 0805 X5R		
C102	1	10nF 0805 X5R		
C103	1	1uF 0805 X5R		
C202;C203;C201	3	22uF 0805 X5R		
C106;C301;C302	3	4.7uF 0805 X5R		
L301	1	4.7uH 0805	LQH3NPN4R7NJ0L	490-5346-1-ND
D102;D103	2	IR25-21C/TR8	IR25-21C/TR8	1080-1356-1-ND
R102	1	0R 0805	RC0805JR-070RL	311-0.0ARCT-ND
R101	1	10k 0805		
R301	1	1M 0805		
R103	1	36R 0805		
U301	1	AAT1217-3.3	AAT1217ICA-3.3-T1	863-1496-1-ND
